match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,super_over_match
26,"April 18, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,Bowl,175,8,179,4,completed,DC,,6,1,Tristan Stubbs,Phil Salt,63,Bhuvneshwar Kumar,3--26,No
27,"April 18, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,CSK,League,CSK,Bowl,194,9,184,8,completed,SRH,10,,0,Eshan Malinga,Abhishek Sharma,59,Eshan Malinga,3--29,No
28,"April 19, 2026","Eden Gardens, Kolkata",KKR,RR,League,RR,Bat,155,9,161,6,completed,KKR,,4,2,Varun Chakravarthy,Rinku Singh,53,Varun Chakravarthy,3--14,No
29,"April 19, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,LSG,League,LSG,Bowl,254,7,200,5,completed,PBKS,54,,0,Priyansh Arya,Priyansh Arya,93,Prince Yadav,2--25,No
30,"April 20, 2026","Narendra Modi Stadium, Ahmedabad",GT,MI,League,GT,Bowl,199,5,100,10,completed,MI,99,,25,Tilak Varma,Tilak Varma,101,Ashwani Kumar,4--24,No
31,"April 21, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,DC,Bowl,242,2,195,9,completed,SRH,47,,0,Abhishek Sharma,Abhishek Sharma,135,Eshan Malinga,4--32,No
32,"April 22, 2026","Ekana Cricket Stadium, Lucknow",LSG,RR,League,LSG,Bowl,159,6,119,10,completed,LSG,40,,12,Ravindra Jadeja,Mitchell Marsh,55,Jofra Archer,3--20,No
33,"April 23, 2026","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,207,6,104,10,completed,CSK,103,,6,Sanju Samson,Sanju Samson,101,Akeal Hosein,4--17,No
34,"April 24, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,RCB,Bowl,205,3,206,5,completed,RCB,,5,7,Virat Kohli,Sai Sudarshan,100,Rashid Khan,2--49,No
35,"April 25, 2026","Arun Jaitley Stadium, Delhi",DC,PBKS,League,DC,Bat,264,2,265,4,completed,PBKS,,6,7,KL Rahul,KL Rahul,152,Kuldeep Yadav,2--46,No
36,"April 25, 2026","Sawai Mansingh Stadium, Jaipur",RR,SRH,League,SRH,Bowl,228,6,229,5,completed,SRH,,5,9,Ishan Kishan,Vaibhav Sooryavanshi,103,Jofra Archer,2--34,No
37,"April 26, 2026","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,GT,Bowl,158,7,162,2,completed,GT,,8,20,Kagiso Rabada,Sai Sudarshan,87,Kagiso Rabada,3--25,No
38,"April 26, 2026","Ekana Cricket Stadium, Lucknow",LSG,KKR,League,LSG,Bowl,155,7,155,8,completed,KKR,,,5,Rinku Singh,Rinku Singh,83,Mohsin Khan,5--23,Yes
39,"April 27, 2026","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,75,10,77,1,completed,RCB,,9,81,Josh Hazlewood,Devdutt Padikkal,34,Josh Hazlewood,4--12,No
40,"April 28, 2026","Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bat,234,7,212,2,completed,RR,22,,,Tilak Varma,Akeal Hosein,124,Trent Boult,1--47,No
41,"April 29, 2026","Eden Gardens, Kolkata",KKR,GT,League,KKR,Bat,151,6,159,1,completed,GT,,9,6,Rashid Khan,Washington Sundar,119,David Miller,4--24,No
42,"April 29, 2026","MA Chidambaram Stadium, Chennai",CSK,LSG,League,LSG,Bat,237,5,228,5,completed,LSG,9,,,Mitchell Marsh,Jamie Overton,57,Ayush Mhatre,1--15,No
43,"April 30, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,PBKS,Bowl,184,7,200,8,completed,PBKS,,3,3,Krunal Pandya,Phil Salt,40,Bhuvneshwar Kumar,3--50,No
44,"April 30, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,MI,Bat,230,4,214,5,completed,MI,16,,,Hardik Pandya,Nitish Kumar Reddy,59,Ishan Kishan,4--27,No
45,"May 01, 2026","Narendra Modi Stadium, Ahmedabad",GT,DC,League,DC,Bat,187,8,174,2,completed,DC,13,,,Shahrukh Khan,Mukesh Kumar,111,Shahrukh Khan,5--25,No
46,"May 02, 2026","Sawai Mansingh Stadium, Jaipur",RR,KKR,League,KKR,Bowl,174,6,197,1,completed,KKR,,4,26,Sandeep Sharma,Dhruv Jurel,70,Quinton de Kock,3--14,No
47,"May 02, 2026","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bat,223,10,251,8,completed,LSG,,1,8,Eshan Malinga,Ravi Bishnoi,61,Harshal Patel,5--26,No
48,"May 03, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Bowl,186,6,164,9,completed,RCB,22,,,Prince Yadav,Arshdeep Singh,41,Phil Salt,1--19,No
49,"May 03, 2026","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,216,4,224,8,completed,MI,,3,8,Matheesha Pathirana,Matheesha Pathirana,31,Ayush Mhatre,1--53,No
50,"May 04, 2026","Arun Jaitley Stadium, Delhi",DC,RR,League,RR,Bowl,154,7,153,1,completed,DC,1,,,Mitchell Marsh,Mukesh Kumar,94,Kuldeep Yadav,5--16,No
51,"May 05, 2026","Eden Gardens, Kolkata",KKR,SRH,League,SRH,Bat,159,8,163,9,completed,KKR,,1,19,Angkrish Raghuvanshi,Moeen Ali,92,Ajinkya Rahane,1--33,No
52,"May 05, 2026","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bat,170,4,171,2,completed,LSG,,9,24,Shahrukh Khan,Mohammad Siraj,46,Shardul Thakur,4--45,No
53,"May 06, 2026","MA Chidambaram Stadium, Chennai",CSK,RCB,League,RCB,Bowl,167,6,162,6,completed,CSK,5,,,Ravindra Jadeja,Tim David,96,Tim David,1--25,No
54,"May 07, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,MI,League,PBKS,Bowl,142,6,112,2,completed,MI,30,,,Nehal Wadhera,Deepak Chahar,37,Harpreet Brar,1--12,No
55,"May 07, 2026","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bat,175,10,153,10,completed,RR,22,,,Sandeep Sharma,Jos Buttler,90,Nandre Burger,4--36,No
56,"May 08, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,KKR,League,SRH,Bat,224,9,220,8,completed,SRH,4,,,Quinton de Kock,Travis Head,116,Angkrish Raghuvanshi,1--13,No
57,"May 09, 2026","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bat,171,6,169,3,completed,DC,2,,,Mukul Choudhary,Tristan Stubbs,53,Shamar Joseph,4--25,No
58,"May 09, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,MI,League,MI,Bat,146,3,175,4,completed,RCB,,2,13,Josh Hazlewood,Suryakumar Yadav,91,Bhuvneshwar Kumar,4--13,No
59,"May 10, 2026","Wankhede Stadium, Mumbai",MI,GT,League,GT,Bat,189,7,209,8,completed,MI,,2,13,Deepak Chahar,David Miller,114,Mohammad Siraj,2--22,No
60,"May 10, 2026","Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bat,214,3,187,1,completed,DC,27,,,Jake Fraser-McGurk,Kagiso Rabada,91,Varun Chakravarthy,5--20,No
61,"May 11, 2026","MA Chidambaram Stadium, Chennai",CSK,RR,League,CSK,Bat,148,4,133,7,completed,CSK,15,,,Ruturaj Gaikwad,Rachin Ravindra,102,Ravindra Jadeja,5--48,No
62,"May 12, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,GT,League,PBKS,Bowl,224,8,207,6,completed,GT,17,,,Washington Sundar,Harpreet Brar,63,Sai Sudarshan,2--52,No
63,"May 12, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,RCB,League,RCB,Bowl,,,,,abandoned,,,,,,,,,,No
64,"May 13, 2026","Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,208,6,186,6,completed,KKR,22,,,Rachin Ravindra,Rinku Singh,61,Sanju Samson,3--20,No
65,"May 13, 2026","Narendra Modi Stadium, Ahmedabad",GT,PBKS,League,PBKS,Bat,225,7,201,3,completed,GT,24,,,Kagiso Rabada,Kagiso Rabada,44,Rashid Khan,5--19,No
66,"May 14, 2026","Ekana Cricket Stadium, Lucknow",LSG,MI,League,MI,Bat,231,8,241,5,completed,LSG,,5,15,Mitchell Marsh,Shamar Joseph,36,Mukul Choudhary,4--27,No
67,"May 15, 2026","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,RR,Bowl,238,5,224,3,completed,RR,14,,,Jos Buttler,Cooper Connolly,100,Priyansh Arya,5--10,No
68,"May 15, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,RCB,Bat,209,3,216,9,completed,KKR,,1,13,Ajinkya Rahane,Liam Livingstone,35,Suyash Sharma,3--12,No
69,"May 16, 2026","Arun Jaitley Stadium, Delhi",DC,CSK,League,DC,Bat,225,4,230,7,completed,CSK,,2,29,Kuldeep Yadav,Devdutt Padikkal,50,Kuldeep Yadav,4--11,No
70,"May 17, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,GT,League,GT,Bowl,225,6,245,2,completed,GT,,7,27,Shubman Gill,Travis Head,90,Eshan Malinga,2--39,No
71,"May 19, 2026","Narendra Modi Stadium, Ahmedabad",SRH,RR,Qualifier 1,RR,Bat,243,3,196,10,completed,RR,5,,,Josh Hazlewood,Zakir Hussain,38,Zakir Hussain,3--51,No
72,"May 20, 2026","Eden Gardens, Kolkata",MI,PBKS,Eliminator,PBKS,Bowl,143,4,129,3,completed,MI,14,,,Priyansh Arya,Harpreet Brar,63,Ryan Rickelton,1--48,No
73,"May 22, 2026","Narendra Modi Stadium, Ahmedabad",RCB,GT,Qualifier 2,GT,Bowl,254,5,162,10,completed,RCB,,3,1,Nehal Wadhera,Priyansh Arya,30,Vijaykumar Vyshak,5--53,No
74,"May 25, 2026","Narendra Modi Stadium, Ahmedabad",RCB,GT,Final,RCB,Bowl,195,4,223,6,completed,RCB,,5,10,Virat Kohli,Virat Kohli,45,Jaydev Unadkat,5--29,No
